Instance	Formulation type	Assets number	Time window Length	Maintenance Types	Solution Status	Solving Time	Solution value
data/Instance_aproximated_290.txt	Langrange	50	5	3	To be defined	0.001478	-2989	
data/Instance_aproximated_291.txt	Langrange	50	5	3	To be defined	0.001151	-2772	
data/Instance_aproximated_292.txt	Langrange	50	5	3	To be defined	0.001662	-1277	
data/Instance_aproximated_293.txt	Langrange	50	5	3	To be defined	0.001311	-1439	
data/Instance_aproximated_294.txt	Langrange	50	5	3	To be defined	0.001053	-502	
data/Instance_aproximated_295.txt	Langrange	50	5	3	To be defined	0.001865	-1645	
data/Instance_aproximated_296.txt	Langrange	50	5	3	To be defined	0.00114	-1236.5	
data/Instance_aproximated_297.txt	Langrange	50	5	3	To be defined	0.000665	-1009	
data/Instance_aproximated_298.txt	Langrange	50	5	3	To be defined	0.000618	-1676.5	
data/Instance_aproximated_299.txt	Langrange	50	5	3	To be defined	0.000727	-2535	
data/Instance_aproximated_300.txt	Langrange	50	5	3	To be defined	0.001026	-3350	
data/Instance_aproximated_301.txt	Langrange	100	5	3	To be defined	0.002261	-1844	
data/Instance_aproximated_302.txt	Langrange	100	5	3	To be defined	0.004479	-3124	
data/Instance_aproximated_303.txt	Langrange	100	5	3	To be defined	0.00107	-5031	
data/Instance_aproximated_304.txt	Langrange	100	5	3	To be defined	0.001495	-1826	
data/Instance_aproximated_305.txt	Langrange	100	5	3	To be defined	0.001668	-3213	
data/Instance_aproximated_306.txt	Langrange	100	5	3	To be defined	0.001891	-2119.5	
data/Instance_aproximated_307.txt	Langrange	100	5	3	To be defined	0.002818	-710	
data/Instance_aproximated_308.txt	Langrange	100	5	3	To be defined	0.003609	-1849	
data/Instance_aproximated_309.txt	Langrange	100	5	3	To be defined	0.002112	-4105	
data/Instance_aproximated_310.txt	Langrange	100	5	3	To be defined	0.004314	-6012	
data/Instance_aproximated_311.txt	Langrange	100	5	3	To be defined	0.002893	-4408	
data/Instance_aproximated_312.txt	Langrange	100	5	3	To be defined	0.002262	-2159	
data/Instance_aproximated_313.txt	Langrange	100	5	3	To be defined	0.0025	-3369	
data/Instance_aproximated_314.txt	Langrange	100	5	3	To be defined	0.001455	-1106	
data/Instance_aproximated_315.txt	Langrange	100	5	3	To be defined	0.001365	-5315	
data/Instance_aproximated_316.txt	Langrange	100	5	3	To be defined	0.001158	164	
data/Instance_aproximated_317.txt	Langrange	100	5	3	To be defined	0.002341	-2817	
data/Instance_aproximated_318.txt	Langrange	100	5	3	To be defined	0.001729	-4602	
data/Instance_aproximated_319.txt	Langrange	100	5	3	To be defined	0.000922	-5917.5	
data/Instance_aproximated_320.txt	Langrange	100	5	3	To be defined	0.0031	-2425.5	
data/Instance_aproximated_321.txt	Langrange	100	5	3	To be defined	0.001339	-2532	
data/Instance_aproximated_322.txt	Langrange	100	5	3	To be defined	0.002316	-2261	
data/Instance_aproximated_323.txt	Langrange	100	5	3	To be defined	0.002571	-5126	
data/Instance_aproximated_324.txt	Langrange	100	5	3	To be defined	0.00174	-2343	
data/Instance_aproximated_325.txt	Langrange	100	5	3	To be defined	0.001651	-3012	
data/Instance_aproximated_326.txt	Langrange	100	5	3	To be defined	0.002449	-3303	
